program,chain_id,round_id,type,chain_name,round_name,matching_pool,starting_time,ending_time,round_number
Beta,1,0xdf22a2C8F6BA9376fF17EE13E6154B784ee92094,program,ETH,Ethereum Infrastructure,200000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x274554EB289004e15A7679123901B7F070dDa0fa,program,ETH,ZK Tech Round,150000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0xAA40E2E5c8df03d792A52B5458959C320F86ca18,program,ETH,Web3 Community and Education,200000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x421510312C40486965767be5Ea603Aa8a5707983,program,ETH,Climate Solutions,350000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x8aA06b3b8cAc2970857F4E0fD78F21dc01AAdE94,community,ETH,Metacrisis,25000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x905eFBaBe2d52cD648FAdfafCeC8D6C8c60F7423,community,ETH,The Phantom Menace,25000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,community,ETH,Token Engineering,25000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x9C3B81967EafBA0a451E324417DD4F3F353b997b,community,ETH,Web3 Social,50000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0xF1C021DF6Dc6b2dC2E5A837CDFDDC2f42503233B,community,ETH,Mantle Grants 1,50000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x6e8dC2e623204D61b0E59E668702654aE336c9f7,community,ETH,DeSci (Decentralized Science),85000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x64E5b2228eF31437909900B38fC42Dd5E4B83147,community,ETH,ENS Ecosystem,50000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x859FaeAa266BA13bd1E72eB6dd7A223902d1adFE,community,ETH,Global Chinese Community beta round,25000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x32c49d2dA5f6866a057e4aA2058c62A2974a5623,community,ETH,Crypto Advocacy,100000,4/25/2023 12:00,5/9/2023 23:59,17
Beta,1,0x64aa545C9C63944f8e765d9a65eda3cbbDc6e620,community,ETH,ReFi Local Nodes,25000,4/25/2023 12:00,5/9/2023 23:59,17
Citizens Round 2,424,0x7492a8c4ED29B1F1559888Bd832fAe5D33E10370,community,PGN,Gitcoin Citizens Round #2,22232,10/10/2023 0:00,6/27/2023 23:59,
Citizens Round 1,10,0x984e29dCB4286c2D9cbAA2c238AfDd8A191Eefbc,community,OP,Gitcoin Citizens Round #1,20000,5/12/2023 0:00,10/24/2023 23:59,
Citizens Round 3,42161,0x5aa255d5cae9b6ce0f2d9aee209cb02349b83731,community,ARB,Gitcoin Citizens Round #3,50000,4/2/2024 0:00,4/16/2024 23:59,
